101
# of Base Pair	Mean Quality Score
0 	 31.264301940663003
1 	 31.442304143490787
2 	 35.328272467473106
3 	 35.928717399208004
4 	 36.09835261423616
5 	 39.57336401110391
6 	 39.736604470787604
7 	 39.816290277185836
8 	 40.00983633892814
9 	 40.0663051327908
10 	 40.10437864500007
11 	 40.11889417808532
12 	 40.06425013840799
13 	 40.07103665776927
14 	 40.07317114357546
15 	 40.06607205980805
16 	 39.9829784044721
17 	 40.013583398072385
18 	 40.02123509520327
19 	 40.01391460545406
20 	 39.98320350491244
21 	 40.04378038525247
22 	 39.97375103729425
23 	 40.01821018707849
24 	 39.97167432213809
25 	 39.95728100075008
26 	 39.895416775046854
27 	 39.921271581422474
28 	 39.86349862167378
29 	 39.907366660845554
30 	 39.810437307853576
31 	 39.87059960772944
32 	 39.85237563663167
33 	 39.89539748788107
34 	 39.91179451344552
35 	 39.904167733262625
36 	 39.89405290594009
37 	 39.86885077714463
38 	 39.88070291395737
39 	 39.86989407902042
40 	 39.85233063140953
41 	 39.83774153675463
42 	 39.82973240764298
43 	 39.825489308252145
44 	 39.743885240978145
45 	 39.781273544000335
46 	 39.791342391556526
47 	 39.78587651173245
48 	 39.78080614268976
49 	 39.77567087285726
50 	 39.77657142052495
51 	 39.76766346984509
52 	 39.68786433551839
53 	 39.72259028013011
54 	 39.7294413176212
55 	 39.72605860862039
56 	 39.671790792558674
57 	 39.68900465409551
58 	 39.676117240255444
59 	 39.66556365055835
60 	 39.64553227711737
61 	 39.640804011631374
62 	 39.58930614751431
63 	 39.60721002488845
64 	 39.59399969279834
65 	 39.58101481903203
66 	 39.56906506812787
67 	 39.558940129220986
68 	 39.54432250024216
69 	 39.448590878593855
70 	 39.46707236886795
71 	 39.462828864793515
72 	 39.45364313047439
73 	 39.43210522456589
74 	 39.40741839840625
75 	 39.38366211330158
76 	 38.646295700359154
77 	 39.05744425204538
78 	 39.17772215351089
79 	 39.229386160896944
80 	 39.32101757225705
81 	 39.32748485406207
82 	 39.30458295791702
83 	 39.289150805443576
84 	 39.27108689634884
85 	 39.2637884714917
86 	 39.22070166164054
87 	 39.074770070541724
88 	 39.11058794513322
89 	 39.11503138218159
90 	 39.097318647612894
91 	 39.05424521434446
92 	 39.01740049501064
93 	 38.96179709915356
94 	 38.93702543258923
95 	 38.940445229328766
96 	 38.92241476031436
97 	 38.701609155550976
98 	 38.7532795387686
99 	 38.83143687444293
100 	 37.66828898819971
finished plot
